1,2721,2305,2797,2449,2559,2654
2,2413,2125,2613,2181,-1,-1
6,2345,1701,2561,1761,-1,-1
5,2701,1897,2765,2037,2507,2237
1,2721,2305,2797,2449,2559,2654
3,3465,1293,3985,1805,4063,2509
9,3553,809,4117,1349,4227,2081
5,2701,1897,2765,2037,2507,2237
1,2721,2305,2797,2449,2559,2654
11,2685,1321,2737,1457,2439,1669
13,3237,665,3573,1061,3471,2593
7,3169,1309,3485,1665,3387,2153
5,2701,1897,2765,2037,2507,2237
6,2345,1701,2561,1761,-1,-1
12,2253,1109,2477,1153,2415,1309
11,2685,1321,2737,1457,2439,1669
5,2701,1897,2765,2037,2507,2237
11,2685,1321,2737,1457,2439,1669
12,2253,1109,2477,1153,2415,1309
14,2829,505,3297,797,3379,1233
13,3237,665,3573,1061,3471,2593
7,3169,1309,3485,1665,3387,2153
9,3553,809,4117,1349,4227,2081
10,3197,613,3877,1117,4119,1749
6,2345,1701,2561,1761,-1,-1
5,2701,1897,2765,2037,2507,2237
